Carimbo de data/hora,Endereço de e-mail,"NOME DO EVENTO, SE HOUVER:",DATA DO EVENTO:,DESCREVA BREVEMENTE A PROPOSTA E A PROGRAMAÇÃO DO EVENTO:,O EVENTO SERÁ:,O EVENTO SERÁ VOLTADO PARA:,IRÃO AUXILIAR NO EVENTO:,"A ALIMENTAÇÃO SERÁ DIFERENTE? SE SIM, IRÃO PRECISAR DE ALGUM INGREDIENTE?","SERÁ NECESSÁRIA A CRIAÇÃO DE UMA ARTE DE DIVULGAÇÃO? SE SIM, COM QUAIS INFORMAÇÕES?","IRÃO PRECISAR DE ALGUM MATERIAL IMPRESSO? SE SIM, INSIRA A QUANTIDADE DE EXEMPLARES E ANEXE O MATERIAL.",COBERTURA DO MARKETING NO DIA DO EVENTO:,"HAVERÁ NECESSIDADE DE ALGUM MATERIAL/EQUIPAMENTO? SE SIM, QUAL?","ADICIONE ALGUM ARQUIVO/ANEXO, CASO HAJA NECESSIDADE:",HORÁRIO DO EVENTO:,Coluna 14
29/05/2025 15:09:20,,HopeDay,28/06/2025,"Ação realizada totalmente pelo grupo de voluntários, porém as crianças terão espaço no palco para apresentações, programação ainda não definida.",Externo (Organizado pelo Parceiro),Será aberto para a comunidade,Funcionários e Voluntários,Não,Não,,Irá precisar,Não,https://drive.google.com/open?id=1QupJnei--8L6Yrd1PXsdqvd-WBawR-ON,,
09/06/2025 10:50:38,,Festa Encerramento mês férias,31/07/2025,Uma Festa com doces tipicos de festa junina,Interno (Organizado pela Unidade),Os atendidos,Funcionários,"Sim, *Barraca do doce* - paçoca, frutas com brigadeiro mole ( 10 potes paçoca e 2 leites condensados de 2,5 kilos e 2 kilos chocolate 50% , frutas vou pedir CEASA) - ano passado fiz com canjica e arroz doce ninguém comeu.
 *Cachorro quente* - salsichas 2 pacotes 3 kilos, 2 pacote molhos 1 litro, 2 pacote purê pronto e 2 pacote batata palha 1 kilo.)*Refrigerante* - 2 fardos ",Não preciso,,Irá precisar,"pula pula, futebol de sabão ",,,
11/06/2025 15:05:16,,"Visita Técnica CDMA e Vandercléia, secretaria da Assistencia Social do Municipio ",23/06/2025,"No dia 23 de junho, teremos a visita de nossa secretaria da Assistencia Social, juntamente com sua equipe e acessores. Me indormaram que a mesma tem uma proposta para o território e esta articulando com as OSCs, será a primeira vez, que recebemos a visita da secretaria. ",Interno (Organizado pela Unidade),Visita Técnica ,Equipe Técnica ,Teremos café e biscoitos ,Não ,,Irá precisar,Não ,,,
11/06/2025 16:06:57,,Teste,11/06/2025,teste,Externo (Organizado pelo Parceiro),Os atendidos,Voluntários,etesfs,tessd,,Não irá precisar,teste,,,
12/06/2025 11:24:11,mkt@anabrasil.org,Pluga Automação,13/06/2025,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",Interno (Organizado pela Unidade),Será aberto para a comunidade,Funcionários,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.

","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.

",,Irá precisar,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.

",,,
12/06/2025 13:24:42,mkt@anabrasil.org,"Pluga Automação - Agenda ""Eventos ANA Brasil""",14/06/2025,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.

",Interno (Organizado pela Unidade),Os funcionários,Funcionários,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.

","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.

",,Irá precisar,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.

",,,
17/06/2025 15:34:10,jdnilopolis@anabrasil.org,Ação de Saúde,19/07/2025,"Ação promovida pelo Centro de Saúde de nosso território, no ginásio do Cafezinho. Fomos convidados para levar apresentações das crianças.",Externo (Organizado pelo Parceiro),Será aberto para a comunidade,Funcionários,Não,Não,,Irá precisar,Caixa de som,,,
18/06/2025 13:50:55,diretoriasantana@anabrasil.org,Campeonato de carrinho controle remoto,18/07/2025,Vamos precisar 5 carrinhos com controle remoto e vamos fazer um circuito no campo para corrida,Interno (Organizado pela Unidade),Os atendidos,Funcionários,nada,nada,,Não irá precisar,"sim, 6 carrinhos de controle remoto",https://drive.google.com/open?id=1ZAe-kFSR99LU2v3_0fkzfc268R_G4bCE,,
18/06/2025 15:53:22,jdnilopolis@anabrasil.org,PicNic ,25/06/2025,"Faremos PicNic com as turmas nos dois períodos, sendo café da manhã às 08:30h e café da tarde, às 14:30h. Nos dias 25, 26 e 30 de junho","Em ambiente externo, mas organizado por nós",Os atendidos,Funcionários,Não,Não,,Irá precisar,Não,,,
30/07/2025 10:46:28,diretoriasantana@anabrasil.org,Aniversariantes do mês e Festa Julina (interna),31/07/2025,"Neste dia, faremos a comemoração dos aniversariantes do mês com uma mini festa Julina com comidas e brincadeiras típicas da época. O evento acontecerá nos dois períodos (manhã e tarde).",Interno (Organizado pela Unidade),Os atendidos,Funcionários,"O cardápio será diferente, mas já conseguimos todas as doações dos ingredientes necessários. ",Não,,Irá precisar,Não ,,,
